num_convex_hull_points,num_convexity_defects,bounding_box_width,bounding_box_height,aspect_ratio,contour_area,contour_perimeter,label
18,13,247,378,0.653439,31204,1711.88,gesture_name
19,12,247,378,0.653439,31280.5,1703.98,gesture_name
15,9,247,378,0.653439,31294,1705.39,gesture_name
16,11,246,377,0.65252,31229,1705.25,gesture_name
16,10,244,376,0.648936,31209,1699.11,gesture_name
17,11,243,374,0.649733,31055.5,1703.15,gesture_name
17,11,241,373,0.646113,31095.5,1690.81,gesture_name
19,12,239,373,0.640751,31207,1684.76,gesture_name
18,13,232,374,0.620321,31198.5,1699.69,gesture_name
21,16,192,349,0.550143,27231.5,1221.76,gesture_name
19,13,194,311,0.623794,24251,993.779,gesture_name
19,13,187,302,0.619205,23242.5,932.222,gesture_name
20,14,186,304,0.611842,23074,926.808,gesture_name
22,16,186,305,0.609836,23164.5,998.164,gesture_name
20,14,186,305,0.609836,23176,994.406,gesture_name
23,17,187,306,0.611111,23210.5,996.649,gesture_name
21,16,187,305,0.613115,23227,991.235,gesture_name
23,17,188,306,0.614379,23293,994.063,gesture_name
24,18,188,306,0.614379,23357.5,998.306,gesture_name
19,14,190,306,0.620915,23323,923.293,gesture_name
20,14,191,306,0.624183,23460,924.465,gesture_name
20,14,192,306,0.627451,23593,926.607,gesture_name
22,16,193,307,0.628664,23706,938.264,gesture_name
19,13,193,307,0.628664,23770.5,940.85,gesture_name
17,13,193,307,0.628664,23797.5,953.678,gesture_name
24,17,194,307,0.631922,23792.5,960.85,gesture_name
19,14,193,306,0.630719,23829.5,964.021,gesture_name
19,14,195,309,0.631068,24065,962.264,gesture_name
16,10,215,327,0.657492,27216,1218.43,gesture_name
12,7,243,380,0.639474,32588.5,1614.72,gesture_name
16,9,247,384,0.643229,32735.5,1735.15,gesture_name
17,11,248,384,0.645833,32210,1678.42,gesture_name
17,10,249,385,0.646753,32264.5,1681.01,gesture_name
16,10,248,386,0.642487,32225.5,1678.18,gesture_name
16,11,249,387,0.643411,32213,1677.25,gesture_name
16,11,248,387,0.640827,32306,1682.76,gesture_name
15,9,247,386,0.639896,32025,1666.48,gesture_name
16,10,247,385,0.641558,32237.5,1660.58,gesture_name
16,10,248,384,0.645833,32242,1646.68,gesture_name
14,9,252,382,0.659686,32384.5,1589.61,gesture_name
16,10,258,376,0.68617,32345.5,1583.07,gesture_name
14,9,263,376,0.699468,32564,1585.45,gesture_name
14,8,270,378,0.714286,32362,1539.51,gesture_name
18,11,274,375,0.730667,32238,1460.88,gesture_name
13,8,276,374,0.737968,31906,1596.48,gesture_name
15,9,275,376,0.731383,32158,1615.94,gesture_name
15,9,273,378,0.722222,32354.5,1573.21,gesture_name
13,7,273,379,0.720317,32452.5,1631.98,gesture_name
14,8,271,380,0.713158,32948,1606.56,gesture_name
15,9,271,380,0.713158,33252,1620.36,gesture_name
16,10,269,382,0.704188,33465.5,1644.46,gesture_name
14,8,268,387,0.692506,33545,1659.05,gesture_name
18,12,265,388,0.68299,33377,1706.5,gesture_name
15,9,262,387,0.677003,32880,1691.88,gesture_name
14,9,258,385,0.67013,32532.5,1671.49,gesture_name
13,7,255,385,0.662338,32474.5,1667.01,gesture_name
14,10,253,389,0.650386,32150,1668.62,gesture_name
15,9,251,391,0.641944,32500,1703.25,gesture_name
15,9,249,391,0.636829,32215.5,1704.66,gesture_name
15,9,249,391,0.636829,32169,1708.91,gesture_name
16,10,249,391,0.636829,32127,1714.56,gesture_name
15,10,249,391,0.636829,32117.5,1711.98,gesture_name
15,9,249,391,0.636829,32097,1707.73,gesture_name
14,8,248,391,0.634271,32006,1702.91,gesture_name
15,9,248,391,0.634271,31876.5,1701.49,gesture_name
14,8,248,391,0.634271,31764,1697.59,gesture_name
13,8,246,391,0.629156,31780.5,1696.18,gesture_name
16,10,246,391,0.629156,31725,1701.59,gesture_name
14,9,247,391,0.631714,31677.5,1699.35,gesture_name
14,9,246,390,0.630769,31616.5,1698.52,gesture_name
16,10,247,390,0.633333,31613.5,1701.01,gesture_name
15,8,247,390,0.633333,31638,1698.42,gesture_name
15,9,247,391,0.631714,31565.5,1699.35,gesture_name
13,8,246,391,0.629156,31534,1703.59,gesture_name
16,10,246,391,0.629156,31283.5,1648.92,gesture_name
14,8,246,391,0.629156,31222,1642.68,gesture_name
14,9,246,391,0.629156,31194.5,1649.41,gesture_name
15,9,245,391,0.626598,31328,1702.42,gesture_name
13,8,245,391,0.626598,31364.5,1694.86,gesture_name
15,9,245,391,0.626598,31377,1693.94,gesture_name
13,7,245,391,0.626598,31386.5,1691.55,gesture_name
16,9,245,392,0.625,31412,1692.28,gesture_name
13,9,246,392,0.627551,31474,1696.62,gesture_name
16,11,246,392,0.627551,31517,1692.62,gesture_name
15,10,245,393,0.62341,31611.5,1683.89,gesture_name
14,9,244,393,0.620865,31631.5,1684.72,gesture_name
13,8,245,393,0.62341,31671,1683.79,gesture_name
14,9,245,393,0.62341,31670,1679.79,gesture_name
14,9,246,394,0.624365,31675,1681.45,gesture_name
13,8,245,393,0.62341,31663.5,1680.86,gesture_name
14,9,246,394,0.624365,31725,1674.96,gesture_name
14,9,246,394,0.624365,31743.5,1676.72,gesture_name
14,10,246,395,0.622785,31812,1678.28,gesture_name
13,8,246,395,0.622785,31838.5,1677.07,gesture_name
16,10,247,395,0.625316,31868,1678.96,gesture_name
13,9,246,395,0.622785,31887.5,1671.07,gesture_name
13,8,246,395,0.622785,31891.5,1672.72,gesture_name
15,9,246,395,0.622785,31840,1668.82,gesture_name
14,8,246,395,0.622785,31802.5,1665.89,gesture_name
14,8,245,395,0.620253,31783,1663.65,gesture_name
13,7,245,395,0.620253,31726,1662.48,gesture_name
12,7,245,395,0.620253,31668.5,1663.89,gesture_name
16,10,245,395,0.620253,31630.5,1663.07,gesture_name
15,9,245,395,0.620253,31640.5,1661.27,gesture_name
13,9,244,395,0.617722,31658,1661.17,gesture_name
13,9,245,395,0.620253,31640.5,1670.58,gesture_name
13,9,246,395,0.622785,31625.5,1674.58,gesture_name
15,10,245,395,0.620253,31633.5,1683.55,gesture_name
14,9,245,395,0.620253,31622,1681.31,gesture_name
13,7,245,395,0.620253,31678.5,1676.24,gesture_name
15,10,245,395,0.620253,31585.5,1677.75,gesture_name
14,9,245,395,0.620253,31466,1682.48,gesture_name
16,10,246,395,0.622785,31489.5,1687.89,gesture_name
14,9,246,395,0.622785,31434,1683.99,gesture_name
14,9,246,394,0.624365,31465.5,1693.41,gesture_name
14,9,246,393,0.625954,31176,1641.02,gesture_name
15,9,246,392,0.627551,30988,1637.02,gesture_name
17,11,247,392,0.630102,30924.5,1635.75,gesture_name
13,8,247,392,0.630102,30940,1646.82,gesture_name
15,9,246,392,0.627551,30907.5,1633.27,gesture_name
15,9,247,391,0.631714,30802.5,1638.09,gesture_name
13,9,246,390,0.630769,30711,1636.34,gesture_name
14,9,245,390,0.628205,30712.5,1634.44,gesture_name
14,9,246,390,0.630769,30712.5,1636.09,gesture_name
13,8,246,390,0.630769,30743.5,1634.78,gesture_name
15,9,246,390,0.630769,30768,1635.99,gesture_name
14,9,245,390,0.628205,30780,1635.02,gesture_name
13,9,245,391,0.626598,30825,1639.99,gesture_name
14,8,245,390,0.628205,30813,1640.82,gesture_name
14,8,245,390,0.628205,30877.5,1640.09,gesture_name
15,10,245,390,0.628205,30843.5,1642.92,gesture_name
16,10,244,391,0.624041,30859,1640.2,gesture_name
14,10,244,393,0.620865,31115.5,1677.75,gesture_name
15,10,241,398,0.605528,31212,1664.2,gesture_name
18,11,238,402,0.59204,31102,1644.4,gesture_name
17,12,235,407,0.577396,31055,1636.74,gesture_name
15,11,233,428,0.544393,31326,1693.02,gesture_name
20,15,233,428,0.544393,31762,1661.57,gesture_name
17,13,232,428,0.542056,32399.5,1645.87,gesture_name
16,11,231,429,0.538462,33064.5,1714.01,gesture_name
16,10,232,436,0.53211,33623,1707.63,gesture_name
19,13,233,444,0.524775,34173.5,1714.84,gesture_name
15,9,233,445,0.523596,34393,1602.37,gesture_name
16,12,235,444,0.529279,34459.5,1572.47,gesture_name
17,11,237,443,0.534989,34457.5,1560.96,gesture_name
19,13,239,442,0.540724,34506.5,1540.67,gesture_name
16,11,240,444,0.540541,34821.5,1544.19,gesture_name
17,11,242,450,0.537778,35297,1566.43,gesture_name
15,9,242,455,0.531868,35737,1593.06,gesture_name
19,13,243,458,0.530568,36040.5,1630.61,gesture_name
16,11,244,457,0.533917,36094,1621.54,gesture_name
17,11,244,455,0.536264,35885.5,1592.61,gesture_name
16,10,245,455,0.538462,35615,1565.06,gesture_name
16,11,245,454,0.539648,35447,1557.2,gesture_name
16,11,244,467,0.522484,37499,1735.31,gesture_name
15,9,244,446,0.547085,34317.5,1491.64,gesture_name
17,11,244,443,0.55079,33958.5,1483.5,gesture_name
18,13,240,441,0.544218,33843,1488.71,gesture_name
19,13,231,433,0.533487,33563,1481.83,gesture_name
17,14,219,430,0.509302,32482.5,1441.53,gesture_name
18,12,189,403,0.468983,30141.5,1128.79,gesture_name
19,15,214,372,0.575269,28772.5,1102.45,gesture_name
23,19,204,360,0.566667,27826.5,990.992,gesture_name
24,17,213,353,0.603399,27607,1006.89,gesture_name
24,17,216,349,0.618911,27555,997.862,gesture_name
22,16,231,352,0.65625,27969.5,1128.05,gesture_name
19,14,232,352,0.659091,27911,1130.29,gesture_name
18,12,232,348,0.666667,27874.5,1114.73,gesture_name
19,14,233,347,0.67147,27727,1148.23,gesture_name
21,15,235,347,0.677233,27573.5,1132.67,gesture_name
20,15,236,350,0.674286,28004.5,1187.58,gesture_name
20,15,252,366,0.688525,30217.5,1214.07,gesture_name
16,9,272,388,0.701031,32445.5,1443.75,gesture_name
16,12,274,384,0.713542,31901.5,1557.15,gesture_name
18,12,275,379,0.725594,31584,1541.59,gesture_name
17,11,274,378,0.724868,31340.5,1544.52,gesture_name
18,12,271,380,0.713158,31296,1552.62,gesture_name
17,12,268,389,0.688946,31241,1570.14,gesture_name
17,13,266,395,0.673418,31173,1596.96,gesture_name
18,13,264,399,0.661654,31132,1606.96,gesture_name
18,12,263,400,0.6575,31085.5,1613.21,gesture_name
18,12,262,401,0.653367,31105.5,1611.55,gesture_name
18,12,262,402,0.651741,31093.5,1613.69,gesture_name
14,8,261,403,0.647643,31178,1618.62,gesture_name
18,12,261,405,0.644444,30943.5,1583.41,gesture_name
16,12,257,430,0.597674,30356,1573.37,gesture_name
16,11,237,407,0.58231,28295.5,1401.87,gesture_name
18,11,216,411,0.525547,26262,1415.63,gesture_name
16,10,190,376,0.505319,20802.5,1116.87,gesture_name
20,17,132,353,0.373938,15268,948.808,gesture_name
21,15,152,401,0.379052,20659.5,1452.21,gesture_name
21,16,151,404,0.373762,23806.5,1530.98,gesture_name
20,13,176,431,0.408353,25405.5,1658.32,gesture_name
23,17,188,405,0.464198,25529,1618.96,gesture_name
20,14,200,404,0.49505,25370.5,1659.21,gesture_name
