numHullPoints,numDefects,bbox_width,bbox_height,aspect_ratio,area,perimeter,gesture_label
13,8,98,341,0.28739,18796.5,839.546,number_1
16,10,98,342,0.28655,18879.5,837.404,number_1
15,11,100,343,0.291545,18944.5,846.86,number_1
18,12,101,344,0.293605,18880,841.304,number_1
13,8,103,344,0.299419,18850.5,848.032,number_1
17,12,105,345,0.304348,18839,851.446,number_1
15,9,104,345,0.301449,18865,850.617,number_1
17,12,107,346,0.309249,18916.5,874.801,number_1
16,10,110,347,0.317003,19103,879.588,number_1
16,10,110,348,0.316092,18968,861.446,number_1
17,11,111,346,0.320809,19179.5,881.973,number_1
17,12,114,343,0.332362,18967.5,867.973,number_1
17,11,114,339,0.336283,18812,853.872,number_1
15,10,114,332,0.343373,18053.5,813.63,number_1
19,14,112,275,0.407273,17381.5,704.86,number_1
18,13,113,253,0.44664,18564.5,678.233,number_1
19,15,128,249,0.514056,21240.5,690.032,number_1
21,17,159,240,0.6625,24379,803.068,number_1
23,18,199,227,0.876652,24319,770.382,number_1
22,16,213,225,0.946667,23473,869.519,number_1
11,7,192,245,0.783673,19671.5,824.423,number_1
15,10,184,257,0.715953,17870.5,855.737,number_1
15,10,181,262,0.69084,17309,883.637,number_1
16,12,180,265,0.679245,17079.5,891.737,number_1
24,18,276,183,1.5082,18458,1239.52,labelOne.csv
26,20,276,183,1.5082,18363.5,1252.73,labelOne.csv
24,19,276,183,1.5082,18465.5,1220.1,labelOne.csv
12,9,340,297,1.14478,69351,1992.23,labelOne.csv
6,4,340,480,0.708333,107309,3578.97,labelOne.csv
7,5,340,480,0.708333,109081,3762.99,labelOne.csv
6,4,340,480,0.708333,129184,2163.97,labelOne.csv
7,5,340,480,0.708333,128752,2312.44,labelOne.csv
7,5,340,480,0.708333,129448,2209.53,labelOne.csv
7,5,340,480,0.708333,129186,2307.61,labelOne.csv
7,5,340,480,0.708333,129537,2222.31,labelOne.csv
7,5,340,480,0.708333,129336,2218.21,labelOne.csv
7,5,340,480,0.708333,129324,2217.53,labelOne.csv
6,4,340,480,0.708333,129112,2396.24,labelOne.csv
6,4,340,480,0.708333,129302,2205.24,labelOne.csv
6,4,340,480,0.708333,128570,2349.85,labelOne.csv
7,5,340,480,0.708333,129085,2310.2,labelOne.csv
7,5,340,480,0.708333,129648,2218.7,labelOne.csv
7,5,340,480,0.708333,129736,2187.97,labelOne.csv
6,4,341,480,0.710417,129015,2363.65,labelOne.csv
6,4,341,480,0.710417,128941,2328.54,labelOne.csv
6,4,341,480,0.710417,129278,2164.56,labelOne.csv
6,4,341,480,0.710417,128134,2323.12,labelOne.csv
7,5,341,480,0.710417,129364,2235.18,labelOne.csv
6,4,341,480,0.710417,129160,2440.76,labelOne.csv
6,4,341,480,0.710417,129205,2145.48,labelOne.csv
6,4,341,480,0.710417,129385,2256.05,labelOne.csv
6,4,341,480,0.710417,129374,2176.21,labelOne.csv
6,4,343,480,0.714583,129285,2257.71,labelOne.csv
6,4,344,480,0.716667,129373,2233.08,labelOne.csv
6,4,344,480,0.716667,129156,2275.61,labelOne.csv
6,4,344,480,0.716667,129135,2278.05,labelOne.csv
6,4,343,480,0.714583,129244,2133.83,labelOne.csv
6,4,343,480,0.714583,129347,2165.63,labelOne.csv
6,4,343,480,0.714583,129214,2149.53,labelOne.csv
6,4,343,480,0.714583,129300,2113.93,labelOne.csv
6,4,343,480,0.714583,129362,2186.01,labelOne.csv
6,4,343,480,0.714583,129082,2347.07,labelOne.csv
6,4,344,480,0.716667,129357,2188.11,labelOne.csv
6,4,344,480,0.716667,129213,2174.11,labelOne.csv
6,4,345,480,0.71875,129292,2121.48,labelOne.csv
6,4,346,480,0.720833,129043,2327.51,labelOne.csv
6,4,346,480,0.720833,128939,2322.34,labelOne.csv
6,4,346,480,0.720833,129216,2149.1,labelOne.csv
6,4,346,480,0.720833,129248,2151.63,labelOne.csv
10,7,471,480,0.98125,138846,3734.39,labelOne.csv
10,8,484,480,1.00833,148094,3552.47,labelOne.csv
7,5,537,480,1.11875,169224,3397.33,labelOne.csv
8,6,537,480,1.11875,171136,2999.72,labelOne.csv
9,7,537,480,1.11875,170984,3027.97,labelOne.csv
8,6,501,480,1.04375,150788,3579.68,labelOne.csv
6,4,347,480,0.722917,131110,2247.91,labelOne.csv
5,4,347,480,0.722917,114463,3605.68,labelOne.csv
13,9,346,295,1.17288,66569,2102.11,labelOne.csv
13,8,346,294,1.17687,58528,2460.36,labelOne.csv
13,9,281,185,1.51892,24901.5,1386.67,labelOne.csv
15,11,281,184,1.52717,24012.5,1440.53,labelOne.csv
20,17,280,184,1.52174,22156.5,1335.22,labelOne.csv
17,14,279,184,1.5163,21041,1034.52,labelOne.csv
18,14,279,184,1.5163,20822.5,994.767,labelOne.csv
17,13,278,184,1.51087,20424.5,994.281,labelOne.csv
21,17,278,184,1.51087,20415,989.21,labelOne.csv
20,16,278,184,1.51087,20426,993.696,labelOne.csv
23,18,279,184,1.5163,20421.5,987.453,labelOne.csv
18,13,279,184,1.5163,20658.5,989.11,labelOne.csv
21,16,280,184,1.52174,21162.5,1040.28,labelOne.csv
14,10,281,184,1.52717,23917.5,1455.16,labelOne.csv
12,8,281,184,1.52717,24485.5,1386.05,labelOne.csv
16,13,351,294,1.19388,46043,2618.64,labelOne.csv
13,9,357,294,1.21429,50774.5,2490.65,labelOne.csv
17,13,363,294,1.23469,55783.5,2323.92,labelOne.csv
12,7,365,295,1.23729,64148.5,2289.27,labelOne.csv
10,6,366,296,1.23649,68681.5,2110.5,labelOne.csv
15,10,368,296,1.24324,70034.5,2194.3,labelOne.csv
13,8,370,296,1.25,71534,2281.79,labelOne.csv
11,7,372,296,1.25676,75268,2217.79,labelOne.csv
8,6,378,480,0.7875,120749,3828.88,labelOne.csv
5,4,427,480,0.889583,120944,4002.11,labelOne.csv
6,4,426,480,0.8875,121616,3933.3,labelOne.csv
5,4,426,480,0.8875,123256,3859.83,labelOne.csv
6,4,426,480,0.8875,123512,3824.13,labelOne.csv
6,4,426,480,0.8875,122686,3935,labelOne.csv
5,4,426,480,0.8875,123670,3923.34,labelOne.csv
6,5,426,480,0.8875,123764,3834.72,labelOne.csv
5,4,426,480,0.8875,123668,3972.94,labelOne.csv
6,4,426,480,0.8875,125598,3757.7,labelOne.csv
8,5,426,480,0.8875,128934,3698.29,labelOne.csv
7,5,426,480,0.8875,123987,3943.39,labelOne.csv
6,4,425,480,0.885417,122014,3846.03,labelOne.csv
5,4,426,480,0.8875,123650,3946.31,labelOne.csv
6,5,446,480,0.929167,139042,2954.68,labelOne.csv
